año,retorno_pct_NRADAS,max_dd_pct_NRADAS,retorno_pct_QQQ,max_dd_pct_QQQ
2003,23.89,-6.16,49.67,-12.18
2004,6.25,-7.78,10.54,-15.86
2005,5.48,-6.12,1.57,-12.15
2006,5.15,-16.71,7.14,-17.27
2007,14.34,-7.44,19.03,-11.45
2008,-24.21,-26.95,-41.73,-49.4
2009,44.24,-8.87,54.68,-18.29
2010,15.58,-13.08,20.14,-15.61
2011,0.31,-12.46,3.48,-16.1
2012,19.88,-9.02,18.11,-11.64
2013,25.45,-4.57,36.63,-5.85
2014,11.06,-5.33,19.18,-8.25
2015,5.33,-8.91,9.44,-13.94
2016,4.14,-6.35,7.1,-12.04
2017,21.24,-3.04,32.66,-4.88
2018,2.28,-10.16,-0.13,-22.8
2019,24.81,-5.54,38.96,-10.98
2020,28.84,-12.52,48.41,-28.56
2021,17.97,-7.7,27.42,-10.85
2022,-19.25,-20.85,-32.58,-34.83
2023,38.26,-7.13,54.86,-10.78
2024,17.0,-8.7,25.58,-13.56
2025,13.73,-11.41,20.77,-22.77
2026,10.54,-3.83,15.19,-11.72
